0 81 1.000000 1 1.000000 0 81 0 243 0.000090
1 80 0.989026 2 1.000000 0 81 0 243 0.000094
2 79 0.978052 3 1.000000 0 81 0 243 0.000097
3 78 0.967078 4 1.000000 0 81 0 243 0.000104
4 77 0.956104 5 1.000000 0 81 0 243 0.000106
5 76 0.945130 6 1.000000 0 81 0 243 0.000116
6 75 0.934156 7 1.000000 0 81 0 243 0.000130
7 74 0.924554 8 1.000000 0 81 0 243 0.000132
8 73 0.913580 9 1.000000 0 81 0 243 0.000134
9 72 0.902606 10 1.000000 0 81 0 243 0.000144
10 71 0.891632 11 1.000000 0 81 0 243 0.000154
11 70 0.880658 12 1.000000 0 81 0 243 0.000167
12 69 0.869684 13 1.000000 0 81 0 243 0.000174
13 68 0.858711 14 1.000000 0 81 0 243 0.000185
14 67 0.847737 15 1.000000 0 81 0 243 0.000197
15 66 0.836763 16 1.000000 0 81 0 243 0.000210
16 65 0.825789 17 1.000000 0 81 0 243 0.000238
17 64 0.816187 18 1.000000 0 81 0 243 0.000237
18 63 0.806584 19 1.000000 0 81 0 243 0.000250
19 62 0.799726 20 1.000000 0 81 0 243 0.000273
20 61 0.791495 21 1.000000 0 81 0 243 0.000283
21 60 0.780521 22 1.000000 0 81 0 243 0.000300
22 59 0.770919 23 1.000000 0 81 0 243 0.000320
23 58 0.762689 24 1.000000 0 81 0 243 0.000338
24 57 0.757202 25 1.000000 0 81 0 243 0.000354
25 56 0.747599 26 1.000000 0 81 0 243 0.000372
26 55 0.737997 27 1.000000 0 81 0 243 0.000395
27 54 0.729767 28 1.000000 0 81 0 243 0.000419
28 53 0.718793 29 1.000000 0 81 0 243 0.000441
29 52 0.710562 30 1.000000 0 81 0 243 0.000456
30 51 0.703704 31 1.000000 0 81 0 243 0.000495
31 50 0.695473 32 1.000000 0 81 0 243 0.000496
32 49 0.684499 33 1.000000 0 81 0 243 0.000517
33 48 0.680384 34 1.000000 0 81 0 243 0.000538
34 47 0.672154 35 1.000000 0 81 0 243 0.000562
35 46 0.669410 36 1.000000 0 81 0 243 0.000672
36 45 0.661180 37 1.000000 0 81 0 243 0.000622
37 44 0.652949 38 1.000000 0 81 0 243 0.000657
38 43 0.643347 39 1.000000 0 81 0 243 0.000664
39 42 0.640604 40 1.000000 0 81 0 243 0.000687
40 41 0.629630 41 1.000000 0 81 0 243 0.000709
41 40 0.620027 42 1.000000 0 81 0 243 0.000741
42 39 0.615912 43 1.000000 0 81 0 243 0.000756
43 38 0.604938 44 1.000000 0 81 0 243 0.000782
44 37 0.607682 45 1.000000 0 81 0 243 0.000815
45 36 0.610425 46 1.000000 0 81 0 243 0.000835
46 35 0.609053 47 1.000000 0 81 0 243 0.000860
47 34 0.604938 48 1.000000 0 81 0 243 0.000878
48 33 0.606310 49 1.000000 0 81 0 243 0.001002
49 32 0.599451 50 1.000000 0 81 0 243 0.000927
50 31 0.600823 51 1.000000 0 81 0 243 0.000966
51 30 0.595336 52 1.000000 0 81 0 243 0.000991
52 29 0.600823 56 1.000000 0 81 0 243 0.001104
53 28 0.607682 57 1.000000 0 81 0 243 0.001141
54 27 0.613169 58 1.000000 0 81 0 243 0.001151
55 26 0.617284 59 1.000000 0 81 0 243 0.001158
56 25 0.629630 60 1.000000 0 81 0 243 0.001220
57 24 0.633745 61 1.000000 0 81 0 243 0.001244
58 23 0.636488 108 1.000000 0 81 0 243 0.002004
59 22 0.655693 63 1.000000 0 81 0 243 0.001230
60 21 0.670782 68 1.000000 0 81 0 243 0.001407
61 20 0.665295 69 1.000000 0 81 0 243 0.001366
62 19 0.674897 67 1.000000 0 81 0 243 0.001359
63 18 0.679012 108 1.000000 0 81 0 243 0.002597
64 17 0.680384 69 1.000000 0 81 0 243 0.001379
65 16 0.685871 68 1.000000 0 81 0 243 0.001384
66 15 0.696845 94 1.000000 0 81 0 243 0.001985
67 14 0.713306 127 1.000000 0 81 0 243 0.002327
68 13 0.732510 128 1.000000 0 81 0 243 0.002309
69 12 0.742112 70 1.000000 0 81 0 243 0.001425
70 11 0.758573 71 1.000000 0 81 0 243 0.001454
71 10 0.780521 74 1.000000 0 81 0 243 0.001516
72 9 0.791495 73 1.000000 0 81 0 243 0.001495
73 8 0.805213 77 1.000000 0 81 0 243 0.001562
74 7 0.827160 80 1.000000 0 81 0 243 0.001608
75 6 0.849108 76 1.000000 0 81 0 243 0.001536
76 5 0.865569 104 1.000000 0 81 0 243 0.002148
77 4 0.890261 88 1.000000 0 81 0 243 0.001757
78 3 0.917695 83 1.000000 0 81 0 243 0.001682
79 2 0.945130 80 1.000000 0 81 0 243 0.001594
80 1 0.972565 81 1.000000 0 81 0 243 0.001523
81 0 1.000000 82 1.000000 0 81 0 243 0.001572
