50 575 1.000 100 1872.00 1872 93600 0.450000 50 575 0.923392 51 1.000000 0 625 0 1875 4.678573
51 574 0.992 102 1860.00 1860 93000 0.450000 51 574 0.921856 52 1.000000 0 625 0 1875 5.286817
52 573 1.000 15 1873.08 1875 93654 0.050000 52 573 0.920320 53 1.000000 0 625 0 1875 2.773482
53 572 0.998 17 1872.12 1875 93606 0.050000 53 572 0.918784 54 1.000000 0 625 0 1875 3.411711
54 571 0.998 17 1872.48 1875 93624 0.050000 54 571 0.917248 55 1.000000 0 625 0 1875 3.361524
55 570 1.000 100 1872.00 1872 93600 0.450000 55 570 0.915712 56 1.000000 0 625 0 1875 4.745431
56 569 0.995 101 1866.00 1866 93300 0.450000 56 569 0.914240 57 1.000000 0 625 0 1875 5.582405
57 568 1.000 100 1869.00 1869 93450 0.450000 57 568 0.912768 58 1.000000 0 625 0 1875 4.699985
58 567 0.989 102 1854.00 1854 92700 0.450000 58 567 0.911232 59 1.000000 0 625 0 1875 5.659993
59 566 0.997 102 1869.00 1869 93450 0.450000 59 566 0.909696 60 1.000000 0 625 0 1875 5.374273
60 565 1.000 102 1872.00 1872 93600 0.450000 60 565 0.908160 61 1.000000 0 625 0 1875 5.343953
61 564 0.997 103 1869.00 1869 93450 0.450000 61 564 0.906624 62 1.000000 0 625 0 1875 5.477520
62 563 0.997 105 1869.00 1869 93450 0.450000 62 563 0.905152 63 1.000000 0 625 0 1875 6.120834
63 562 0.998 47 1872.06 1875 93603 0.150000 63 562 0.903616 64 1.000000 0 625 0 1875 4.679405
64 561 0.997 105 1869.00 1869 93450 0.450000 64 561 0.902080 65 1.000000 0 625 0 1875 6.062653
65 560 0.992 106 1860.00 1860 93000 0.450000 65 560 0.900608 66 1.000000 0 625 0 1875 6.275897
66 559 0.997 106 1869.00 1869 93450 0.450000 66 559 0.899072 67 1.000000 0 625 0 1875 6.583161
67 558 1.000 19 1871.94 1875 93597 0.050000 67 558 0.897536 68 1.000000 0 625 0 1875 3.505038
68 557 0.994 107 1863.00 1863 93150 0.450000 68 557 0.896064 69 1.000000 0 625 0 1875 6.225946
69 556 0.987 109 1851.00 1851 92550 0.450000 69 556 0.894592 70 1.000000 0 625 0 1875 6.413690
70 555 0.992 111 1860.00 1860 93000 0.450000 70 555 0.893056 71 1.000000 0 625 0 1875 6.983366
71 554 0.994 107 1863.00 1863 93150 0.450000 71 554 0.891520 72 1.000000 0 625 0 1875 6.476983
72 553 0.997 108 1869.00 1869 93450 0.450000 72 553 0.890048 73 1.000000 0 625 0 1875 6.707259
73 552 0.995 108 1866.00 1866 93300 0.450000 73 552 0.888512 74 1.000000 0 625 0 1875 6.874457
